N„–  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
1128|* eps And                          |PM*|00 38 33.3473333007 +29 18 42.328589821| 5.72 | 5.25 | 4.38 | 3.70 | 3.19 |G7IIIFe-3CH1         | 259 |   0
1129|* mu. Hya                          |PM*|10 26 05.42630 -16 50 10.6429          | 7.11 | 5.29 | 3.81 | 2.70 | 1.87 |K4III                | 114 |   0
1130|* tet Cas                          |PM*|01 11 06.1622468 +55 08 59.647259      | 4.630| 4.510| 4.330| 4.16 | 4.09 |A7V                  | 185 |   0
1131|* bet Eri                          |PM*|05 07 50.98549 -05 05 11.2055          | 3.02 | 2.92 | 2.79 | 2.65 | 2.57 |A3IV                 | 210 |   0
1132|* kap Ori                          |s*b|05 47 45.3888404 -09 40 10.577707      | 0.87 | 1.88 | 2.06 | 2.09 | 2.27 |B0.5Ia               | 547 |   0
1133|* pi.01 Ori                        |PM*|04 54 53.7287660 +10 09 02.995200      |     ~| 4.723| 4.648|     ~|     ~|A0Va_lB              | 241 |   0
1134|* gam Pav                          |PM*|21 26 26.6048372 -65 21 58.314484      | 4.57 | 4.70 | 4.22 | 3.75 | 3.45 |F9VFe-1.4CH-0.7      | 376 |   0
1135|* gam02 Sgr                        |PM*|18 05 48.4880988 -30 25 26.723458      | 4.77 | 4.00 | 2.99 | 2.26 | 1.75 |K0+III               | 129 |   0
1136|* eta Cep                          |PM*|20 45 17.3755540 +61 50 19.616737      | 4.960| 4.320| 3.410| 2.76 | 2.27 |K0IV                 | 419 |   0
1137|* del Pyx                          |PM*|08 55 31.5596844828 -27 40 54.690384252|     ~| 5.00 | 4.89 |     ~|     ~|A3IV                 |  47 |   0
1138|* 29 CMa                           |bL*|07 18 40.3796893709 -24 33 31.311819488| 3.80 | 4.80 | 4.95 | 4.95 | 5.08 |O7Iafpvar            | 398 |   0
1139|HD 189276                          |*  |19 55 55.3792000435 +58 50 45.475151496| 8.47 | 6.51 | 4.96 | 3.56 | 2.92 |K4.5IIIa             |  72 |   0
1140|* del Dor                          |*  |05 44 46.3781065 -65 44 07.901098      | 4.69 | 4.57 | 4.36 | 4.10 | 3.93 |A7V                  | 117 |   0
1141|* eta Cen                          |Be*|14 35 30.4241610 -42 09 28.170782      | 1.30 | 2.12 | 2.31 | 2.41 | 2.59 |B2Ve                 | 322 |   0
1142|* bet Aur                          |Al*|05 59 31.7229284 +44 56 50.757259      | 1.97 | 1.93 | 1.90 | 1.82 | 1.83 |A1IV-Vp              | 401 |   0
1143|* chi Cyg                          |S* |19 50 33.9243904 +32 54 50.609683      | 7.02 | 6.06 | 4.24 | 1.81 |-0.01 |S6-9/1-2e            | 664 |   0
1144|* bet Hya A                        |PM*|11 52 54.520890 -33 54 29.28672        |     ~| 4.57 | 4.69 |     ~|     ~|~                    |   0 |   0
1145|* tau CrB                          |PM*|16 08 58.3090492277 +36 29 27.123415020| 6.64 | 5.75 | 4.73 | 4.01 | 3.47 |K1-III-IV            | 175 |   0
1146|* alf Aql                          |dS*|19 50 46.99855 +08 52 05.9563          | 1.07 | 0.98 | 0.76 | 0.62 | 0.49 |A7Vn                 | 821 |   0
1147|* lam Her                          |V* |17 30 44.3099693623 +26 06 38.312491922| 7.53 | 5.85 | 4.41 | 3.37 | 2.62 |K3.5III              | 122 |   0
1148|* mu.01 Cru                        |V* |12 54 35.6245487 -57 10 40.522525      | 3.12 | 3.87 | 4.04 | 4.14 | 4.38 |B2IV-V               | 137 |   0
1149|* e Gem A                          |PM*|06 54 38.6381476771 +13 10 40.243144636|     ~| 4.997| 4.715|     ~|     ~|kA8mF0Vp             |  12 |   0
1150|* kap Vir                          |PM*|14 12 53.7453840 -10 16 25.333997      | 7.00 | 5.53 | 4.21 | 3.14 | 2.39 |K2.5IIIFe-0.5        | 130 |   0
1151|* alf Cen                          |** |14 39 29.71993 -60 49 55.9990          |     ~| 0.4  |-0.1  |     ~|     ~|G2V+K1V              | 822 |   0
1152|* tau And                          |V* |01 40 34.8164511 +40 34 37.374230      | 4.44 | 4.85 | 4.94 | 4.95 | 5.02 |B5III                |  71 |   0
1153|* del Crt                          |PM*|11 19 20.4475617 -14 46 42.741307      | 5.66 | 4.67 | 3.56 | 2.73 | 2.13 |G9IIICH0.5           | 154 |   0
1154|* eps01 Lyr                        |** |18 44 20.34589 +39 40 12.4533          |     ~| 4.82 | 4.66 |     ~|     ~|A3V+F0V              |  65 |   0
1155|* ksi Her                          |LP*|17 57 45.8857114 +29 14 52.367509      | 5.34 | 4.64 | 3.70 | 3.01 | 2.55 |G8.5III              | 224 |   0
1156|* alf And                          |a2*|00 08 23.25988 +29 05 25.5520          | 1.48 | 1.95 | 2.06 | 2.09 | 2.19 |B8IV-VHgMn           | 445 |   0
1157|* 20 Oph                           |PM*|16 49 50.0114366896 -10 46 59.203483774|     ~| 5.105| 4.632|     ~|     ~|F7V                  | 167 |   0
1158|* alf Lyr                          |dS*|18 36 56.33635 +38 47 01.2802          | 0.03 | 0.03 | 0.03 | 0.07 | 0.10 |A0Va                 |2512 |   0
1159|* 14 Com                           |*  |12 26 24.0646051622 +27 16 05.684514302| 5.40 | 5.22 | 4.95 | 4.70 | 4.55 |F1IV:npS_sh          | 152 |   0
1160|* kap Lyr                          |V* |18 19 51.7090844 +36 03 52.369076      | 6.70 | 5.51 | 4.34 | 3.48 | 2.93 |K2-IIIabCN0.5        | 132 |   0
1161|* nu. Phe                          |PM*|01 15 11.1225892742 -45 31 54.007631265| 5.65 | 5.54 | 4.96 | 4.47 | 4.11 |F9VFe+0.4            | 230 |   0
1162|HD 92938                           |Be*|10 42 14.1203992 -64 27 59.132293      | 4.10 | 4.68 | 4.82 |     ~|     ~|B3/5V                | 108 |   0
1163|* zet TrA                          |SB*|16 28 28.1396465547 -70 05 03.822057572|     ~| 5.46 | 4.91 |     ~|     ~|F9V                  | 180 |   0
1164|* 109 Her                          |** |18 23 41.8896673559 +21 46 11.085401616| 6.18 | 5.02 | 3.84 | 2.99 | 2.39 |K2IIIab              | 166 |   0
1165|* 12 Com                           |SB*|12 22 30.3107569400 +25 50 46.189595360| 5.56 | 5.30 | 4.81 | 4.34 | 4.01 |F6III+A3V            | 174 |   0
1166|* 102 Her                          |*  |18 08 45.4914189 +20 48 52.407870      | 3.38 | 4.177| 4.347|     ~|     ~|B2IV                 | 176 |   0
1167|* tau Cyg A                        |PM*|21 14 47.5031558023 +38 02 43.610974412|     ~| 4.23 | 3.83 |     ~|     ~|~                    |  26 |   0
1168|* bet02 Tuc A                      |PM*|00 31 33.468 -62 57 56.03              |     ~| 4.611| 4.488|     ~|     ~|~                    |   2 |   0
1169|* zet Boo A                        |PM*|14 41 08.960182 +13 43 41.81182        |     ~| 4.56 | 4.51 |     ~|     ~|~                    | 105 |   0
1170|* psi Sco                          |*  |16 12 00.0104347630 -10 03 50.835285121|     ~| 5.029| 4.928|     ~|     ~|A1V                  |  80 |   0
1171|* 48 Cas A                         |PM*|02 01 57.436802 +70 54 25.43225        |     ~| 4.75 | 4.63 |     ~|     ~|A2V                  |   9 |   0
1172|HD 115211                          |V* |13 17 13.0106438001 -66 47 00.378877175|     ~| 6.326| 4.846|     ~|     ~|K2Ib/II              |  17 |   0
1173|HD 143787                          |PM*|16 03 20.6217888201 -25 51 54.865286842|     ~| 6.202| 4.966|     ~|     ~|K3III                |  40 |   0
1174|* kap And                          |PM*|23 40 24.5076320 +44 20 02.156595      | 3.80 | 4.06 | 4.14 | 4.15 | 4.22 |A0V                  | 177 |   0
1175|* tet Boo                          |PM*|14 25 11.7970287 +51 51 02.676894      | 4.57 | 4.56 | 4.05 | 3.64 | 3.39 |F7V                  | 339 |   0
1176|* phi01 Ori                        |SB*|05 34 49.2380370 +09 29 22.487814      | 3.29 | 4.26 | 4.41 | 4.42 | 4.59 |B0III                | 243 |   0
1177|* phi Gem                          |*  |07 53 29.8166075896 +26 45 56.847983468|     ~| 5.060| 4.963|     ~|     ~|A5IV                 |  78 |   0
1178|* e Ori                            |*  |05 23 56.8276764 -07 48 29.033204      | 5.78 | 5.08 | 4.12 | 3.40 | 2.90 |G8+III               | 135 |   0
1179|* alf Cet                          |LP?|03 02 16.77307 +04 05 23.0596          | 6.10 | 4.17 | 2.53 | 1.18 | 0.02 |M1.5IIIa             | 439 |   0
1180|* tau05 Eri                        |SB*|03 33 47.2761284 -21 37 58.383035      |     ~| 4.16 | 4.30 |     ~|     ~|B9V                  | 104 |   0
1181|* del02 Cha                        |*  |10 45 47.0048737 -80 32 24.678498      | 3.56 | 4.258| 4.433|     ~|     ~|B3V                  |  63 |   0
1182|* gam Crt                          |PM*|11 24 52.9236199 -17 41 02.429978      |     ~| 4.25 | 4.06 | 6.12 |     ~|A7V(n)               | 117 |   0
1183|* bet Hor                          |*  |02 58 47.7988212538 -64 04 16.647482898|     ~| 5.094| 4.969|     ~|     ~|A3/5III(m)           |  35 |   0
1184|* k02 Pup                          |V* |07 38 49.8706970997 -26 48 13.846005331|     ~| 4.26 | 4.429|     ~|     ~|B5IV                 |  50 |   0
